авангард1|"передовая часть"|vanguard/avant-guarde
авангард2|"передовое искусство"|art avant-guarde
авеню1|един.число|avenue
авеню2|множ.число|avenues
автомат1|"устройство"|automaton
автомат2|"оружие"|machine-gun
автоматы1|"устройства"|automata
автоматы2|"оружие"|machine-guns
автономия1|"регион"|autonomous region
автономия2|"самоуправление"|selfgovernment
авторитет1|"престиж"|autority
авторитет2|"человек"|autoritative person
агент1|"работник"|business agent
агент2|"шпион"|intelligence agent
агент3|"вещество"|phys./chem.agent
агенты1|"работники"|business agents
агенты2|"шпионы"|intelligence agents
агенты3|"вещества"|phys./chem.agents
Адам1|библейский|biblical Adam
Адам2|"мужское имя"|Adam as a personal name
адрес1|"место адресата"|address
адрес2|"поздрав.послание"|greeting message
АЗС1|"автозаправочная станция"|gas station
АЗС2|"автозаправочные станции"|gas stations
академический1|"относящийся к академии"|academic
академический2|"учебный"|teaching/sabbatical
академия1|"научное учреждение"|Academy of Sciences
академия2|"учебное заведение"|academy as a higher school
акт1|"действие"|act
акт2|"документ"|statement
актив1|"люди"|the active members
актив2|"средства"|assets
акты1|"действия"|acts
акты2|"документы"|statements
акцент1|"упор"|stress
акцент2|"отклонение от нормы"|pronunсiation accent
акции1|"бумаги"|shares
акции2|"действия"|actions
акция1|"бумага"|share
акция2|"действие"|action
Алжир1|"страна"|Algeria
Алжир2|"город"|Algiers
альбом1|для фото/марок...|album for photos/maps
альбом2|аудиозаписей|audio album
альт1|"инструмент"|viola
альт2|"голос"|alto
альт3|"певец"|alto singer
амортизация1|"устаревание"|depreciation
амортизация2|"смягчение"|shock absorption
ансамбль1|напр.музыкальный|human ensemble
ансамбль2|напр.архитектурный|architect.ensemble
аппарат1|управления|personel
аппарат2|"аппаратура"|device
аппарат3|"теор.средство"|apparatus criticus
аппарат4|в теле|body subsystem
аппендикс1|"отросток"|vermiform appendix
аппендикс2|"пристройка/приложение"|appendix
аппликации1|из бумаги/кожи...|applications
аппликации2|"леч.процедуры"|appliques/applications
аргумент1|в споре|argument in discussion
аргумент2|функции|argument of a function
аргументы1|в споре|arguments in discussion
аргументы2|функций|arguments of a function
артерии1|кровеносные|arteries
артерии2|дорожные |arterial roads
артерия1|кровеносная|artery
артерия2|дорожная|arterial road
ассоциации1|"мысл.увязки"|mental associations
ассоциации2|"организации"|organizations
ассоциация1|"мысл.увязка"|mental association
ассоциация2|"организация"|organization
ателье1|един.число|atelier/studio
ателье2|множ.число|ateliers/studios
атлас1|"картограф.сборник"|atlas
атлас2|"ткань"|satin
атмосфера1|"воздушный слой"|atmosphere as layer
атмосфера2|"обстановка"|atmosphere as conditions
атмосфера3|"единица давления"|atmosphere as pressure unit
аудирование1|"прослушивание"|listening/audition
аудирование2|"аудит"|audit
аудитории1|"слушатели"|audiences
аудитории2|"залы"|lecture-rooms
аудитория1|"слушатели"|audience
аудитория2|"зал"|lecture-room
афганец1|"национал"|Afghan man
афганец2|"ветеран"|Afghan war vet       
афганец3|"суховей"|hot dry wind
афганка1|"женщина"|Afghan woman
афганка2|"камуфл.форма"|camouflage uniform
афганка3|"сорт конопли"|marijuana
афганцы1|"националы"|Afghan mеn
афганцы2|"ветераны"|Afghan war vets
баба1|"простонародная женщина"|folksy woman     
баба2|"жена/объект желаний"|wife/sex-bomb
баба3|"размазня"|milksop
баба4|"молот"|rammer
баба5|ромовая|rum cake
бабки1|"старушки"|old women
бабки2|"деньги"|money
бабки3|"кругляши"|stacks
бабочка1|"насекомое"|butterfly
бабочка2|"галстук"|bow tie
база1|"основание"|basis
база2|напр.военная|base (e.g.military)
базар1|"торговое место"|bazaar
базар2|"беспорядок/ссора"|din/racket
байка1|"сказка"|fable
байка2|"ткань"|flannelette
бак1|"сосуд"|cistern
бак2|судна|forecastle
баки1|"сосуды"|cisterns
баки2|"бакенбарды"|whiskers
баланс1|"сводка"|balance
баланс2|"равновесие"|equilibrium
балка1|"брус"|beam
балка2|"лощина"|gully
балки1|"брусья"|beams
балки2|"лощины"|gullies
баллон1|"сосуд"|container
баллон2|"шина"|tyre
баллоны1|"сосуды"|containers
баллоны2|"шины"|tyres
банк1|"учреждение"|commercial bank
банк2|"хранилище"|depository
банк3|в картах|card bank
банка1|"сосуд"|jar/can/pot
банка2|"отмель"|sandbank
банка3|"скамья"|thwart
банки1|"учреждения"|banks
банки2|"посуда"|pots/tins
банки3|"отмели"|sandbanks
банки4|"хранилища"|banks/depositories
бар1|"ресторан"|snack-bar/pub
бар2|"отмель"|sand-bar
бар3|"единица давления"|bar unit
барабан1|"муз.инструмент"|drum
барабан2|"техагрегат"|cylinder
баранка1|из теста|ring-shaped roll
баранка2|"руль"|steering-wheel
барашки1|"животные"|lambs
барашки2|"завитки"|white caps
баритон1|"голос"|baritone
баритон2|"артист"|baritone singer
бас1|"голос"|bass
бас2|"артист"|bass singer
бассейн1|напр.для купания|pool
бассейн2|"акватория/территория"|basin/field
бассейны1|напр.для купания|pools
бассейны2|"акватории/территории"|basins/fields
батареи1|артиллер.|artillery batteries
батареи2|технические|tech.batteries
батарея1|артиллер.|artillery battery
батарея2|техническая|tech.battery
бачки1|"сосуды"|small cisterns
бачки2|"бакенбарды"|whiskers
башмак1|"обувь"|boot/shoe
башмак2|"тормоз"|brake-shoe
башмаки1|"обувь"|boots/shoes
башмаки2|"тормоза"|brake-shoes
бег1|"пробежка"|running
бег2|"спорт"|race
белки1|"протеины"|proteins
белки2|из яиц|whites of eggs
белки3|глаз|whites of eyes
белки4|"зверьки"|squirrels
белок1|"протеин"|protein
белок2|из яйца|white of an egg
белок3|глаза|white of an eye
белый1|"белого цвета"|white
белый2|"белогвардейский"|White
бизнес-класс1|"уровень сервиса"|business-class level
бизнес-класс2|"класс общества"|business community
билет1|напр.на поезд|ticket
билет2|экзаменационный|question card
билет3|напр.партийный|membership card
билеты1|напр.на поезд|tickets
билеты2|экзаменационные|question cards
билеты3|напр.партийные|membership cards
бит1|информации|bit
бит2|"музык.стиль"|beat music
биты1|информации|bits
биты2|в спорте|bats
битый1|"побитый"|beaten
битый2|"разбитый"|broken
битый3|"целый"|full
бить1|"избивать"|to beat
бить2|"ударять/фонтанировать"|to strike/hit
бить3|"стрелять"|to fire
биться1|"драться"|to fight
биться2|о сердце|to beat
биться3|"ударяться"|to knock
биться4|"метаться"|to writhe
биться5|над задачей|to rack
биться6|о стекле|to break
бич1|"плеть"|scourge/whip
бич2|"наказание"|penalty
благодаря1|"вследствие"|owing to
благодаря2|"выражая благодарность"|thanking
блестящий1|"замечательный"|brilliant
блестящий2|"сверкающий"|shiny
близость1|"малое расстояние"|proximity
близость2|"близкие отношения"|intimacy
блок1|"стройэлемент/модуль"|building unit/module
блок2|"объединение организаций"|bloc
блок3|"техприспособление"|pulley
блокада1|экономическая/военная|milititary/economical blockade
блокада2|медицинская|medical blockade
блоки1|"куски"|building units
блоки2|"объединения"|blocs
блоки3|"приспособления"|pulleys
блокирование1|"перекрытие"|blockade
блокирование2|"объединение"|forming blocs
блокироваться1|"перекрываться"|to be blockaded
блокироваться2|"объединяться"|to form a bloc
блокировка1|"препятствование"|blockage
блокировка2|"техустройство"|interlock/block system
блюда1|"пища"|courses
блюда2|"посуда"|dishes
блюдо1|"пища"|course
блюдо2|"посуда"|dish
боевик1|вооруженный|militant
боевик2|"фильм"|thriller
боевики1|вооруженные|militants
боевики2|"фильмы"|thrillers
боевой1|"военный"|military
боевой2|"энергичный/неотложный"|militant/urgent
бой1|"сражение"|battle
бой2|часов|striking
бой3|"разбитое"|breakage
бокс1|"спорт"|boxing
бокс2|"помещение"|cubicle
боксер1|"спортсмен"|boxing man
боксер2|"собака"|boxer dog
боксеры1|"спортсмены"|boxing men
боксеры2|"трусы"|boxer trousers
болгарка1|"женщина"|Bulgarian woman
болгарка2|"инструмент"|drill-driven instrument
болеть1|"быть больным"|to be ill
болеть2|"быть болельщиком"|to be fan
болеть3|"причинять боль"|to ache
болото1|"местность"|swamp
болото2|"косная среда"|slough
болтать1|языком|to chatter
болтать2|напр.ногами|to shake
болтушка1|"человек"|chatterer
болтушка2|"еда"|mash
больно1|"болезненно"|painfully
больно2|"слишком"|a bit too
боновый1|"заградительный"|buoy
боновый2|"кредитный"|cheque
боны1|заградительные|buoys
боны2|кредитные|cheques
бор1|"лес"|coniferous forest
бор2|"химэлемент"|boron
бор3|"инструмент"|burr
борт1|"вместилище"|board
борт2|"боковина судна"|side
борт3|"самолет"|aircraft
борт4|одежды|coat-breast
борта1|"вместилища"|boards
борта2|"боковины судна"|sides
борта3|"самолеты"|aircrafts
борта4|одежды|coat-breasts
борьба1|"сражение"|stuggle
борьба2|спортивная|wrestling
бот1|"программа-робот"|bot
бот2|"лодка"|boat
ботаник1|"спец в ботанике"|botanist
ботаник2|"круглый отличник"|nerd
боты1|"программы-роботы"|bots
боты2|"лодки"|boats
боты3|"обувь"|women overshoes
бочка1|"сосуд"|barrel
бочка2|для причаливания|buoy
бочки1|"сосуды"|barrels
бочки2|для причаливания|buoys
брак1|"женитьба"|marriage
брак2|"непригодное"|waste
бред1|"чушь"|gibberish
бред2|медицинский|delirium
брейк1|"танец"|break dance
брейк2|"перерыв"|break time
бригада1|производственная|team/brigade
бригада2|воинская|brigade/subdivision
бригады1|производственные|teams/brigades
бригады2|воинские|brigades/subdivisions
бровки1|"брови"|small eyebrows
бровки2|напр.у дорожки|edges
бродить1|"ферментироваться"|to ferment
бродить2|"блуждать"|to wander
брожение1|"ферментация"|fermentation
брожение2|"недовольство"|unrest
бронированный1|"резервированный"|reserved
бронированный2|"покрытый броней"|armored
бронировать1|"резервировать"|to reserve
бронировать2|"покрывать броней"|to armor
броня1|"резервирование"|reservation
броня2|"покрытие"|armor
бросать1|"оставлять"|to abandon
бросать2|"направлять/швырять"|to direct/throw
бросить1|"оставить"|to abandon
бросить2|"направить/швырнуть"|to direct/throw
брошенный1|"оставленный"|abandoned
брошенный2|"направленный/швырнутый"|directed/thrown
Брюссель1|"столица Бельгии"|Brussels city
Брюссель2|"руководство Евросоюза"|Brussels as EU lidership
бубны1|"муз.инструменты"|tamburines
бубны2|в картах|diamonds
бугор1|"возвышенность/выпуклость"|hillok/tuber/knob
бугор2|"главарь"|ringleader
бугор3|"граница с зарубежьем"|abroad border
букет1|"пучок"|bunch/bouquet
букет2|"аромат"|bouquet/aroma
буки1|"деревья"|beeches
буки2|"древн.буква"|letter 'buki'
бум1|"оживление/шумиха"|boom/sensation
бум2|гимнастический|log
бумага1|напр.газетная|paper
бумага2|"документ"|document
бумагодержатель1|"владелец бумаги"|bondholder
бумагодержатель2|"защип"|paper-clip
бумажка1|"небольшая бумага"|slip of paper
бумажка2|"банкнота"|bank-note
бумажный1|"из бумаги"|paper
бумажный2|"хлопчатобумажный"|cotton
бунт1|"восстание"|riot
бунт2|"моток"|bundle
бунты1|"восстания"|riots
бунты2|"мотки"|bundles
бурбон1|"человек"|bourbon
бурбон2|"виски"|bourbon whisky
буфет1|общепитовский|buffet
буфет2|"мебель"|sideboard
бухнуть1|"выпить"|to drink
бухнуть2|"ударить"|to thump
бухта1|"залив"|bay
бухта2|"связка"|coil
бык1|"животное"|bull
бык2|"опора"|pier
быки1|"животные"|bulls
быки2|"опоры"|piers
бычки1|"быки"|steers
бычки2|"окурки"|cigarette butts
бычки3|"рыба"|gobies
бычок1|"бык"|steer
бычок2|"окурок"|cigarette butt
бюджетный1|"относящийся к бюджету"|budgetary
бюджетный2|"недорогой"|economical
бюллетени1|информационные|bulletins/newsletters
бюллетени2|больничные|medical certificates
бюллетени3|избирательные|voting papers
бюллетень1|информационный|bulletin/newsletter
бюллетень2|больничный|medical certificate
бюллетень3|избирательный|voting paper
бюро1|"учреждение"|office
бюро2|"учреждения"|offices
бюро3|"столик"|writing desk
бюст1|"грудь"|bosom
бюст2|"скульптура"|bust
вал1|"волна"|billow/roller
вал2|"насыпь"|rampart/swell
вал3|"стержень"|shaft
вал4|"суммарный продукт"|gross product
Валерия1|"женское имя"|Valеria as fem.name
Валерия2|"мононим певицы"|singer Valеria
валить1|"повергать/опрокидывать"|to cut/bring down
валить2|"заваливать/губить"|to flunk/bring down
валить3|"возлагать вину"|to blame on
валить4|"ехать/идти"|to go
ванна1|"сосуд"|bathtub 
ванна2|"процедура"|bath procedure
ванночка1|"сосуд"|small bathtub 
ванночка2|"процедура"|local bath procedure
ванночки1|"сосуды"|small bathtubs 
ванночки2|"процедуры"|local bath procedures
ванны1|"сосуды"|bathtubs
ванны2|"процедуры"|bath procedures
варежка1|"рукавица"|mitten
варежка2|"рот"|mouth/kisser
ватник1|"одежда"|quilted jacket
ватник2|"ура-патриот/ничтожество"|jingo/schmuck
ватники1|"одежда"|quilted jackets
ватники2|"ура-патриоты/ничтожества"|jingos/schmucks
Вашингтон1|"столица США"|US capital
Вашингтон2|"правительство США"|US government
Вашингтон3|"штат США"|US state
Вашингтон4|"фамилия"|last name
введение1|"вступление"|introduction
введение2|"ввод"|putting into operation
ввести1|"внести/провести внутрь"|to bring in
ввести2|"сделать действующим"|to put into operation
вводить1|"вносить/проводить внутрь"|to bring in
вводить2|"делать действующим"|to put into operation
ведение1|"контроль"|authority
ведение2|"проведение"|conducting
ведомый1|"известный"|known
ведомый2|"руководимый"|led/guided
ведро1|"сосуд"|bucket
ведро2|"погода"|fine weather
ведущий1|"главенствующий"|leading
ведущий2|"осуществляющий"|conducting/performing
ведущий3|"запускающий"|driving
вездеход1|"внедорожник"|all-terrain vehicle
вездеход2|"универсальный пропуск"|universal permit
вездеходы1|"внедорожники"|all-terrain vehicles
вездеходы2|"универсальные пропуска"|universal permits
везти1|"удаваться"|to have luck
везти2|"перевозить"|to carry
венец1|на голову|crown
венец2|"верхний блок"|upper block
венцы1|на голову|crowns
венцы2|"верхние блоки"|upper blocks
вера1|в Бога|faith/belief
вера2|"уверенность"|trust
вермишель1|"бакалейный товар"|vermicelli as grocery
вермишель2|"гарнир"|vermicelli as garnish
верность1|"правильность"|trueness/correctness
верность2|"надежность/преданность"|fidelity/loyalty/faithfulness
верный1|"правильный"|true/right/correct
верный2|"надежный/преданый"|faithful/loyal/trusty
верхи1|"правители"|rulers
верхи2|"верхние части"|upper parts
верхушка1|"вершина"|top
верхушка2|"руководство"|leadership
вес1|физический|weight
вес2|моральный|influence
вести1|"осуществлять"|to carry/fulfill/do
вести2|"препровождать/управлять"|to conduct/drive
вестник1|"сборник сообщений"|bulletin
вестник2|"вестовой"|messenger
ветка1|растения|branch/twig
ветка2|напр.дороги|branch-line
ветки1|растения|branches/twigs
ветки2|напр.дороги|branch-lines
ветреный1|"с ветром"|windy
ветреный2|"легкомысленный"|frivoluous/empty-headed
вечер1|"часть дня"|evening
вечер2|"торжество"|soiree
